Seq | Data_Center_Code | Name | TSN | Authority | Best_NODC7 | Collectors_Comment | Data_Managers_Comment | Short_Name | TSN_ITIS | APHIAID
90000000004581 | 20 | Crucigenia rectangularis | 0 | (A. Braun) Gay | 803090309 |  | 1975Anderson |  | NaN | 178965 
90000000004017 | 90 | Crucispina cruciformis | -70073 | (Leadbeater, 1974) Espeland in Espeland et Thronds | 340000000 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 311  reference book Scientific Authority = (Leadbeater, 1974) Espeland in Espeland et Throndsen, 1986 | IML_PHYTO_Feb2007 |  | NaN | 105570 
90000000000656 | 90 | Crustacea | 83677 |  | 6100000000 |  | KENNEDY 84037;KENNEDY 80027; | CRUCLA | 83677 | 1066 
90000000004107 | 90 | Cryothecomonas | -1 |  | 340000000 | Thomsen, H. A., Buck, K. R., Bolt, P. A., and Garrison, D. L. 1991 | IML_phyto_April2007 |  | NaN | 118011 
90000000000922 | 90 | Cryptacanthodes | 171606 |  | 8842122000 |  |  | CRYPTA | 171606 | 159674 
90000000005785 | 20 | Cryptacanthodes aleutensis | 171610 |  | 1 |  | IOSzooplanktondbase_Dec2012 |  | 171610 | 276390 
90000000005786 | 20 | Cryptacanthodes giganteus | 171612 |  | 1 |  | IOSzooplanktondbase_Dec2012 |  | 171612 | 276392 
90000000000923 | 90 | Cryptacanthodes maculatus | 171609 |  | 8842122001 |  |  | CRYMAC | 171609 | 159675 
90000000000344 | 90 | Cryptacanthodes maculatus | 171609 | STORER, 1839 | 8842122001 |  | SSIP | CRYMAC | 171609 | 159675 
90000000002823 | 90 | Cryptacanthodidae | 553223 |  | 8842122000 | AFS | NFLD_longlist |  | 553223 | 151391 
90000000004582 | 20 | Cryptaulux | 0 | Skuja | 340000000 |  | 1975Anderson |  | NaN | 146167 
90000000004018 | 90 | Cryptochrysis aff. vittata | -70074 | Schiller 1925 | -1 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 249  reference book Scientific Authority = Schiller 1925 | IML_PHYTO_Feb2007 |  | NaN | 573841 
90000000002475 | 90 | Cryptomonadales | 10599 |  | 1402000000 |  | AZMP_PHYTO |  | 10599 | 17640 
90000000004583 | 20 | Cryptomonas | 0 | Ehrenberg | 1402030300 |  | 1975Anderson |  | NaN | 106282 
90000000004584 | 20 | Cryptomonas erosa | 0 | Ehrenberg | 1402030306 |  | 1975Anderson |  | NaN | 155555 
90000000001312 | 90 | Cryptoniscidae | 93077 |  | 6165010000 |  | KENNEDY 80027; | CRYPFA | 93077 | 146881 
90000000002454 | 90 | Cryptophyceae | 10598 |  | 1401000000 |  | AZMP_PHYTO | PHYTO | 10598 | 17639 
90000000005971 | 20 | CRYPTOPHYTA | -7 | Cavalier-Smith, 1986 | -9999 |  |  |  | NaN | 17638 
90000000001313 | 90 | Ctenocalanus | 85362 | GIESBRECHT, 1888 | 6118050200 | ROSE  BRODSKII DAVIS | IOSdata | CTE | 85362 | 104162 
90000000000639 | 90 | Ctenocalanus vanus | 85363 | GIESBRECHT, 1888 | 6118050201 | DAVIS | KENNEDY 80027;CPRdata IOSdata | CTE | 85363 | 104510 
90000000004976 | 20 | Ctenodiscus crispatus | 156940 |  | 8107020100 |  | NL - Trinity Bay |  | 156940 | 123915 
90000000000924 | 90 | Ctenolabrus | 170732 |  | 8839013500 |  |  | CTE | 170732 | 126020 
90000000000925 | 90 | Ctenolabrus adspersus | -7218 |  | 8839013500 | no data |  | CTE | NaN | NaN 
90000000000490 | 90 | Ctenophora | -8004 | HATSCHEK, 1888 | 3800000000 |  | KENNEDY 77007 | CTEPHY | 53856 | 1248 
90000000004288 | 20 | Ctenophora | 53856 | Eschscholtz, 1829 | 3800000000 | Claudia Mills 1998 website | IOSdata |  | 53856 | 1248 
90000000001731 | 90 | ctenophores/coelenterates/Porifera | -5902 |  | 9999000000 |  | KENNEDY95002;SSIP | CTE | 202423 | 2 
90000000000894 | 90 | Cubiceps | 172545 |  | 8851020200 |  |  | CUB | 172545 | 126037 
90000000001732 | 90 | Cubiceps pauciradiatus | 172546 | GUENTHER, 1872 | 8851020202 |  | SSIP | CUB | 172546 | 159424 
90000000004977 | 20 | Cucumaria frondosa | 158195 |  | 8172060100 |  | NL - Trinity Bay |  | 158195 | 124612 
90000000004978 | 20 | Cucumaria pulcherrima | 158210 |  | 8172060100 |  | NL - Trinity Bay |  | 158210 | 149908 
90000000000047 | 90 | Cumacea | 90745 |  | 6154000000 |  | KENNEDY 84037;KENNEDY 80027;CPRdata IOSdata | CUMORD | 90745 | 1137 
90000000001543 | 90 | Cumella vulgaris | 90966 |  | 6154080100 |  | IOSdata | CUM | 90966 | 182534 
90000000003078 | 90 | Cumingia | 81315 | G. B. Sowerby I, 1833 | 5515350300 | nfld authority field blank;  Abbott | NFLD_longlist |  | 81315 | 156822 
90000000002824 | 90 | Cumingia tellinoides | 81317 | (Conrad, 1831) | 5515350300 | Abbott | NFLD_longlist |  | 81317 | 156823 
90000000005787 | 20 | Cunina frugifera | 51239 |  | 1 |  | IOSzooplanktondbase_Dec2012 |  | 51239 | 117494 
90000000005606 | 20 | Cuninidae | 51219 | Bigelow, 1913 | 1 |  | IOSzooplanktondbase_Dec2012 |  | 51219 | 16845 
90000000001637 | 90 | cusk/mackerel | -5919 |  | 8717000000 |  | SSIP | CUS | 161105 | 10194 
90000000004979 | 20 | Cuspidaria glacialis | 82039 |  | 5520100200 |  | NL - Trinity Bay |  | 82039 | 139445 
90000000004980 | 20 | Cuspidariidae | 82014 |  | 5520100000 |  | NL - Trinity Bay |  | 82014 | 1788 
90000000001459 | 90 | Cuvierina | 76401 |  | 5113020700 |  | CPRdata | CUVIER | 76401 | 137753 
90000000002825 | 90 | Cuvierina columnella | 76402 | (Rang, 1827) | 5113020700 | V. Spoel | NFLD_longlist |  | 76402 | 139036 
90000000001314 | 90 | Cyanea | 51669 |  | 3734020100 | jelly_peron and Lesueur 1809 | KENNEDY_PETPESWICK | CYANEA | 51669 | 135259 
90000000000377 | 90 | Cyanea capillata | 51671 | (LINNAEUS, 1758) | 3734020100 | jelly | KENNEDY 76026;lion's mane,Check this - CYANEA CAPItella in old samples | CYACAP | 51671 | 135301 
90000000005287 | 20 | Cyanea crenulata | -7 |  | 3734020100 |  | episled_71001(Sameoto_Petpsewick) |  | 51669 | 135259 
90000000005290 | 20 | Cyanea ephyra | -7 |  | 3734020100 |  | IOS |  | 51669 | 135259 
90000000000690 | 90 | Cyaneidae | 51668 |  | 3734020000 |  | KENNEDY 79006;KENNEDY 80027; | CYA | 51668 | 135239 
90000000006052 | 30 | Cyanobacteria | 956108 |  | 201000000 |  | IML_Riki 2011 |  | NaN | NaN 
